,Name,url
0,'57 CHEVY WITH A WHITE LICENSE PLATE,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg
1,1-900-FUK-MEUP,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg
2,110 IN THE SHADE,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg
3,151 FLORIDA BUSHWACKER,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg
4,155 BELMONT,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg
5,24K NIGHTMARE,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg
6,252,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg
7,3 WISE MEN,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg
8,3-MILE LONG ISLAND ICED TEA,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg
9,410 GONE,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg
10,50/50,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg
11,501 BLUE,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg
12,69 SPECIAL,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg
13,747,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg
14,9 1/2 WEEKS,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg
15,A DAY AT THE BEACH,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg
16,A FURLONG TOO LATE,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg
17,A GILLIGAN'S ISLAND,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg
18,A NIGHT IN OLD MANDALAY,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg
19,A PIECE OF ASS,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg
20,A SPLASH OF NASH,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg
21,A TRUE AMARETTO SOUR,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg
22,A MIDSUMMERNIGHT DREAM,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg
23,A. J.,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg
24,A.D.M. (AFTER DINNER MINT),http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg
25,A1,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg
26,ABC,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg
27,ACID,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg
28,AT&T,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg
29,ABBEY COCKTAIL,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg
30,ABBEY MARTINI,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg
31,ABILENE,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg
32,ABSINTHE #2,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg
33,ABSOLUT EVERGREEN,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg
34,ABSOLUT SEX,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg
35,ABSOLUT STRESS #2,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg
36,ABSOLUT SUMMERTIME,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg
